                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.3378,                0.57424,                0.95963,                0.90632,                0.85678,                0.92836,                0.60205,                 1.3839,                0.56355,                 0.9751,               0.004852,               0.004852,               0.004852
                    107,                 1.3359,                0.57405,                0.95842,                0.91727,                0.85229,                0.93043,                0.60089,                 1.3839,                 0.5617,                0.97562,              0.0048025,              0.0048025,              0.0048025
                    108,                 1.3417,                0.57563,                0.95808,                0.90601,                0.86568,                0.93044,                0.60226,                  1.384,                0.56163,                0.97633,               0.004753,               0.004753,               0.004753
                    109,                 1.3288,                0.57122,                0.95725,                0.89787,                0.87291,                0.93096,                0.60143,                 1.3849,                0.56107,                0.97651,              0.0047035,              0.0047035,              0.0047035
                    110,                 1.3291,                0.56958,                0.95627,                0.90406,                0.86795,                0.92938,                0.60161,                 1.3869,                0.56171,                0.97664,               0.004654,               0.004654,               0.004654
                    111,                 1.3266,                0.56656,                0.95546,                 0.8982,                0.87369,                0.93046,                 0.6027,                 1.3873,                0.56212,                0.97708,              0.0046045,              0.0046045,              0.0046045
                    112,                 1.3306,                0.56955,                0.95559,                0.89348,                0.87669,                0.93125,                0.60444,                 1.3867,                0.56102,                0.97658,               0.004555,               0.004555,               0.004555
                    113,                 1.3364,                0.57228,                0.95789,                0.89955,                0.87161,                0.93195,                 0.6042,                 1.3858,                0.56042,                0.97615,              0.0045055,              0.0045055,              0.0045055
                    114,                 1.3283,                0.56723,                0.95662,                    0.9,                0.87191,                0.93174,                0.60413,                 1.3859,                0.56037,                0.97615,               0.004456,               0.004456,               0.004456
                    115,                 1.3207,                0.56442,                0.95123,                0.90012,                0.86714,                0.93051,                0.60281,                 1.3868,                0.56111,                0.97607,              0.0044065,              0.0044065,              0.0044065
                    116,                 1.3225,                0.56436,                0.95412,                 0.9008,                0.86879,                0.93081,                0.60375,                 1.3858,                 0.5609,                0.97566,               0.004357,               0.004357,               0.004357
                    117,                 1.3282,                0.56581,                0.95276,                0.89799,                0.87128,                 0.9309,                0.60165,                 1.3864,                0.56192,                0.97647,              0.0043075,              0.0043075,              0.0043075
                    118,                 1.3328,                0.56722,                0.95612,                 0.8949,                 0.8761,                0.93025,                0.60076,                  1.388,                0.56243,                0.97766,               0.004258,               0.004258,               0.004258
                    119,                 1.3262,                0.56636,                0.95574,                0.90384,                0.86549,                0.93065,                0.60177,                 1.3881,                0.56097,                0.97832,              0.0042085,              0.0042085,              0.0042085
                    120,                 1.3241,                0.56422,                0.95127,                0.89529,                0.87321,                0.93085,                0.60161,                 1.3869,                0.55926,                0.97778,               0.004159,               0.004159,               0.004159
                    121,                 1.3277,                0.56255,                0.95718,                0.90807,                 0.8633,                0.93039,                0.60242,                 1.3867,                0.55937,                0.97786,              0.0041095,              0.0041095,              0.0041095
                    122,                 1.3186,                0.56291,                0.95117,                0.90742,                0.86438,                0.93043,                0.60314,                 1.3854,                0.55853,                0.97762,                0.00406,                0.00406,                0.00406
                    123,                 1.3156,                0.56158,                0.95575,                0.90651,                0.86343,                0.93075,                0.60299,                 1.3844,                0.55807,                0.97762,              0.0040105,              0.0040105,              0.0040105
                    124,                 1.3193,                0.56378,                0.95213,                0.90643,                0.86852,                0.93191,                0.60333,                 1.3841,                0.55853,                0.97717,               0.003961,               0.003961,               0.003961
                    125,                 1.3147,                0.55904,                0.94889,                0.89625,                0.87581,                0.93129,                0.60408,                 1.3834,                0.55836,                0.97635,              0.0039115,              0.0039115,              0.0039115
                    126,                 1.3092,                0.55775,                0.95123,                0.89537,                0.87756,                0.93158,                0.60477,                 1.3836,                0.55716,                0.97633,               0.003862,               0.003862,               0.003862
                    127,                  1.311,                0.55889,                0.95061,                 0.9001,                0.87595,                0.93123,                0.60541,                 1.3839,                0.55711,                 0.9765,              0.0038125,              0.0038125,              0.0038125
                    128,                 1.3107,                0.55878,                0.95053,                0.90036,                0.87193,                0.93074,                0.60402,                 1.3849,                0.55707,                 0.9767,               0.003763,               0.003763,               0.003763
                    129,                 1.3049,                0.55372,                0.95152,                0.89838,                0.87294,                0.93019,                0.60363,                 1.3852,                0.55771,                0.97685,              0.0037135,              0.0037135,              0.0037135
                    130,                 1.3188,                0.55834,                0.94967,                0.90538,                0.86238,                0.92797,                 0.6023,                 1.3857,                  0.558,                0.97691,               0.003664,               0.003664,               0.003664
                    131,                 1.3067,                0.55599,                0.94843,                  0.903,                0.86476,                0.92858,                0.60294,                 1.3864,                0.55882,                0.97704,              0.0036145,              0.0036145,              0.0036145
                    132,                 1.3085,                0.55364,                0.94825,                0.90618,                 0.8615,                0.92748,                0.60264,                 1.3863,                0.55885,                0.97684,               0.003565,               0.003565,               0.003565
                    133,                  1.303,                 0.5526,                0.94994,                0.90708,                0.86477,                0.92997,                0.60356,                 1.3871,                0.55809,                0.97701,              0.0035155,              0.0035155,              0.0035155
                    134,                 1.3016,                0.55299,                0.94957,                0.90824,                0.86401,                0.92928,                0.60379,                 1.3875,                0.55826,                0.97704,               0.003466,               0.003466,               0.003466
                    135,                 1.2983,                 0.5523,                0.94665,                0.91244,                 0.8623,                0.92941,                0.60365,                 1.3881,                0.55825,                0.97691,              0.0034165,              0.0034165,              0.0034165
                    136,                  1.302,                0.55387,                0.94827,                0.90985,                0.86418,                0.92912,                0.60307,                 1.3886,                0.55864,                0.97711,               0.003367,               0.003367,               0.003367
                    137,                 1.2946,                0.54798,                 0.9459,                0.90586,                0.86487,                0.92855,                0.60275,                 1.3884,                0.55813,                0.97694,              0.0033175,              0.0033175,              0.0033175
                    138,                 1.2969,                0.55002,                0.94625,                0.89891,                 0.8703,                0.92819,                0.60262,                 1.3892,                0.55805,                0.97707,               0.003268,               0.003268,               0.003268
                    139,                 1.3068,                0.55111,                0.94621,                0.89683,                0.87208,                0.92856,                0.60275,                 1.3894,                0.55846,                 0.9774,              0.0032185,              0.0032185,              0.0032185
                    140,                 1.3034,                0.55234,                0.94689,                 0.8987,                0.87164,                0.92896,                0.60254,                 1.3892,                0.55834,                0.97741,               0.003169,               0.003169,               0.003169
                    141,                 1.2937,                0.54898,                0.94402,                0.89798,                0.87246,                0.92824,                0.60211,                 1.3891,                0.55812,                0.97738,              0.0031195,              0.0031195,              0.0031195
                    142,                  1.294,                0.54911,                0.94486,                0.89599,                0.87477,                0.92849,                0.60221,                 1.3896,                0.55757,                0.97731,                0.00307,                0.00307,                0.00307
                    143,                 1.2864,                0.54503,                0.94383,                0.89677,                0.87585,                0.92853,                0.60214,                 1.3897,                 0.5569,                0.97735,              0.0030205,              0.0030205,              0.0030205
                    144,                 1.2963,                0.54969,                0.94725,                0.89713,                 0.8769,                0.92861,                0.60325,                 1.3896,                0.55723,                0.97734,               0.002971,               0.002971,               0.002971
                    145,                 1.3008,                0.55106,                0.94458,                0.89653,                0.87845,                 0.9291,                0.60323,                 1.3902,                0.55736,                0.97767,              0.0029215,              0.0029215,              0.0029215
                    146,                 1.2893,                0.54518,                0.94234,                  0.901,                0.87568,                0.93045,                0.60293,                 1.3902,                 0.5576,                0.97767,               0.002872,               0.002872,               0.002872
                    147,                 1.2892,                0.54456,                0.94459,                0.89814,                0.87792,                0.93042,                0.60303,                   1.39,                0.55748,                 0.9778,              0.0028225,              0.0028225,              0.0028225
                    148,                 1.2818,                0.54367,                0.94042,                0.89852,                0.87902,                0.93079,                0.60361,                 1.3901,                0.55751,                0.97806,               0.002773,               0.002773,               0.002773
                    149,                  1.295,                0.54663,                0.94138,                0.90047,                0.87876,                 0.9312,                0.60373,                 1.3903,                0.55766,                 0.9781,              0.0027235,              0.0027235,              0.0027235
                    150,                 1.2883,                0.54367,                0.94006,                0.89981,                0.87864,                0.93066,                0.60329,                 1.3908,                  0.558,                0.97814,               0.002674,               0.002674,               0.002674
                    151,                 1.2928,                0.54245,                0.93697,                0.90259,                0.87613,                0.93073,                 0.6032,                 1.3905,                0.55821,                 0.9781,              0.0026245,              0.0026245,              0.0026245
                    152,                 1.2807,                0.53801,                0.94117,                0.90331,                0.87625,                0.93102,                0.60319,                 1.3902,                0.55796,                0.97813,               0.002575,               0.002575,               0.002575
                    153,                 1.2849,                0.54227,                0.93894,                0.90585,                0.87434,                0.93091,                0.60274,                 1.3901,                0.55799,                0.97817,              0.0025255,              0.0025255,              0.0025255
                    154,                 1.2852,                0.54088,                0.93897,                0.90514,                0.87637,                0.93123,                0.60247,                 1.3902,                0.55777,                0.97814,               0.002476,               0.002476,               0.002476
                    155,                 1.2704,                0.53543,                0.94272,                0.90585,                0.87604,                0.93136,                0.60184,                 1.3905,                 0.5577,                0.97821,              0.0024265,              0.0024265,              0.0024265
